[LoggerStatus.SUCCESS] | Installed: ttf-jetbrains-mono-nerd | Tue Mar 25 22:52:16 2025
[LoggerStatus.SUCCESS] | Installed: ttf-fira-code | Tue Mar 25 22:52:16 2025
[LoggerStatus.SUCCESS] | Installed: ttf-iosevka-nerd | Tue Mar 25 22:52:19 2025
[LoggerStatus.SUCCESS] | Installed: cava | Tue Mar 25 22:52:20 2025
[LoggerStatus.SUCCESS] | Installed: i3lock-color | Tue Mar 25 22:52:26 2025
[LoggerStatus.SUCCESS] | Installed: ptpython | Tue Mar 25 22:52:33 2025
[LoggerStatus.SUCCESS] | [+] Firefox styles installed | Tue Mar 25 22:52:43 2025
[LoggerStatus.SUCCESS] | [+] Installed Dev Dependencies | Tue Mar 25 22:52:43 2025
[LoggerStatus.SUCCESS] | Installed: cheese | Tue Mar 25 22:52:46 2025
[LoggerStatus.SUCCESS] | Installed: screenkey | Tue Mar 25 22:52:47 2025
[LoggerStatus.SUCCESS] | Installed: timeshift | Tue Mar 25 22:52:48 2025
[LoggerStatus.SUCCESS] | Installed: pinta | Tue Mar 25 22:52:49 2025
[LoggerStatus.SUCCESS] | Installed: kdenlive | Tue Mar 25 22:52:51 2025
[LoggerStatus.SUCCESS] | Installed: wireshark-qt | Tue Mar 25 22:52:53 2025
[LoggerStatus.SUCCESS] | Installed: filezilla | Tue Mar 25 22:52:54 2025
[LoggerStatus.SUCCESS] | Installed: ghex | Tue Mar 25 22:52:58 2025
[LoggerStatus.SUCCESS] | Installed: chromium | Tue Mar 25 22:53:00 2025
[LoggerStatus.SUCCESS] | Installed: keepassxc | Tue Mar 25 22:53:04 2025
[LoggerStatus.SUCCESS] | Installed: audacity | Tue Mar 25 22:53:06 2025
[LoggerStatus.SUCCESS] | Installed: gufw | Tue Mar 25 22:53:06 2025
[LoggerStatus.SUCCESS] | Installed: python-pywal | Tue Mar 25 22:53:07 2025
[LoggerStatus.SUCCESS] | Installed: bleachbit | Tue Mar 25 22:53:08 2025
[LoggerStatus.SUCCESS] | Installed: veracrypt | Tue Mar 25 22:53:08 2025
[LoggerStatus.SUCCESS] | Installed: homebank | Tue Mar 25 22:53:09 2025
[LoggerStatus.SUCCESS] | Installed: gtkhash | Tue Mar 25 22:53:09 2025
[LoggerStatus.SUCCESS] | Installed: gnome-firmware | Tue Mar 25 22:53:10 2025
[LoggerStatus.SUCCESS] | Installed: touche | Tue Mar 25 22:53:10 2025
[LoggerStatus.SUCCESS] | Installed: dconf-editor | Tue Mar 25 22:53:11 2025
[LoggerStatus.SUCCESS] | Installed: neovim | Tue Mar 25 22:53:13 2025
[LoggerStatus.SUCCESS] | Installed: obs-studio | Tue Mar 25 22:53:14 2025
[LoggerStatus.SUCCESS] | Installed: telegram-desktop | Tue Mar 25 22:53:15 2025
[LoggerStatus.SUCCESS] | Installed: tmux | Tue Mar 25 22:53:16 2025
[LoggerStatus.SUCCESS] | Installed: youtube-dl | Tue Mar 25 22:53:17 2025
[LoggerStatus.SUCCESS] | Installed: code | Tue Mar 25 22:53:17 2025
[LoggerStatus.SUCCESS] | Installed: cowsay | Tue Mar 25 22:53:18 2025
[LoggerStatus.SUCCESS] | Installed: deluge-gtk | Tue Mar 25 22:53:22 2025
[LoggerStatus.SUCCESS] | Installed: flameshot | Tue Mar 25 22:53:23 2025
[LoggerStatus.SUCCESS] | Installed: sqlitebrowser | Tue Mar 25 22:53:23 2025
[LoggerStatus.SUCCESS] | Installed: obsidian | Tue Mar 25 22:53:24 2025
[LoggerStatus.SUCCESS] | Installed: python-pip | Tue Mar 25 22:53:24 2025
[LoggerStatus.SUCCESS] | Installed: bpython | Tue Mar 25 22:53:25 2025
[LoggerStatus.SUCCESS] | Installed: ipython | Tue Mar 25 22:53:27 2025
[LoggerStatus.SUCCESS] | Installed: cloc | Tue Mar 25 22:53:28 2025
[LoggerStatus.SUCCESS] | Installed: evince | Tue Mar 25 22:53:29 2025
[LoggerStatus.SUCCESS] | Installed: gnome-calculator | Tue Mar 25 22:53:30 2025
[LoggerStatus.SUCCESS] | Installed: gnome-disk-utility | Tue Mar 25 22:53:31 2025
[LoggerStatus.SUCCESS] | Installed: gucharmap | Tue Mar 25 22:53:31 2025
[LoggerStatus.SUCCESS] | Installed: gthumb | Tue Mar 25 22:53:33 2025
[LoggerStatus.SUCCESS] | Installed: gnome-clocks | Tue Mar 25 22:53:34 2025
